"'Número de Autorización","'Fecha de Transacción","'Descripción","'Valor Original","'Tasa Pactada","'Tasa EA Facturada","'Cargos y Abonos","'Saldo a Diferir","'Cuotas",
"'91.60156250","'88.72070313","'92.33398438","'92.08984375","'88.23242188","'90.28320313","'92.62695313","'91.99218750","'87.35351563",
"'93.16406250","'90.23437500","'93.94531250","'93.65234375","'89.69726563","'91.84570313","'94.18945313","'93.55468750","'88.81835938",
"'91.69921875","'88.81835938","'92.43164063","'92.18750000","'88.28125000","'90.38085938","'92.72460938","'92.08984375","'87.40234375",
"'92.77343750","'89.84375000","'93.50585938","'93.21289063","'89.30664063","'91.40625000","'93.79882813","'93.11523438","'88.42773438",
"'91.21093750","'88.28125000","'91.94335938","'91.65039063","'87.79296875","'89.84375000","'92.18750000","'91.55273438","'86.91406250",
"'90.28320313","'87.45117188","'91.01562500","'90.72265625","'86.91406250","'88.96484375","'91.25976563","'90.62500000","'86.08398438",
"'92.72460938","'89.79492188","'93.45703125","'93.16406250","'89.25781250","'91.35742188","'93.75000000","'93.06640625","'88.37890625",
"'88.42773438","'85.64453125","'89.16015625","'88.86718750","'85.15625000","'87.15820313","'89.40429688","'88.76953125","'84.32617188",
"'91.35742188","'88.47656250","'92.08984375","'91.84570313","'87.98828125","'90.03906250","'92.38281250","'91.74804688","'87.10937500",
"'91.21093750","'88.28125000","'91.94335938","'91.65039063","'87.79296875","'89.84375000","'92.18750000","'91.55273438","'86.91406250",
"'88.33007813","'85.54687500","'89.06250000","'88.76953125","'85.05859375","'87.06054688","'89.30664063","'88.67187500","'84.22851563",
"'92.18750000","'89.25781250","'92.91992188","'92.62695313","'88.76953125","'90.82031250","'93.21289063","'92.57812500","'87.89062500",
"'88.52539063","'85.74218750","'89.25781250","'88.96484375","'85.25390625","'87.25585938","'89.50195313","'88.86718750","'84.37500000",
"'90.72265625","'87.84179688","'91.45507813","'91.16210938","'87.35351563","'89.40429688","'91.69921875","'91.06445313","'86.47460938",
"'92.91992188","'89.94140625","'93.65234375","'93.35937500","'89.45312500","'91.55273438","'93.94531250","'93.26171875","'88.57421875",
"'88.81835938","'85.98632813","'89.55078125","'89.25781250","'85.49804688","'87.50000000","'89.79492188","'89.16015625","'84.66796875",
"'93.06640625","'90.13671875","'93.84765625","'93.55468750","'89.64843750","'91.74804688","'94.09179688","'93.45703125","'88.72070313",
"'89.69726563","'86.86523438","'90.42968750","'90.18554688","'86.37695313","'88.42773438","'90.72265625","'90.08789063","'85.54687500",
"'90.13671875","'87.30468750","'90.86914063","'90.57617188","'86.81640625","'88.81835938","'91.16210938","'90.52734375","'85.93750000",
"'92.72460938","'89.79492188","'93.45703125","'93.16406250","'89.25781250","'91.35742188","'93.75000000","'93.06640625","'88.37890625",
