"'","'FORMA","'DE PAGO","'","'VALOR",
"'EFECTIVO","'CHEQUE","'BANCO","'NÚMERO","'",
"'","'","'","'","'",
,,,,

'Confidence Scores % (Table Cell)
""'78.66210938","'78.66210938","'78.66210938","'78.66210938","'91.30859375",
"'67.67578125","'70.45898438","'71.28906250","'72.21679688","'65.38085938",
"'77.19726563","'80.37109375","'81.29882813","'82.37304688","'65.38085938",
