'Page number,'Número de
Autorización,'Fecha de
Transacción,'Descripción,'Valor Original,'Tasa
Pactada,'Tasa EA
Facturada,'Cargos y Abonos,'Saldo a Diferir,'Cuotas,'Confidence score % (Número de
Autorización),'Confidence score % (Fecha de
Transacción),'Confidence score % (Descripción),'Confidence score % (Valor Original),'Confidence score % (Tasa
Pactada),'Confidence score % (Tasa EA
Facturada),'Confidence score % (Cargos y Abonos),'Confidence score % (Saldo a Diferir),'Confidence score % (Cuotas)
'4,'R03858,'14/01/2025,'DLO*RAPPI COLOMBIA,'23,490.00,'0,0000,'00,0000,'23,490.00,'0.00,'1/1,'57.70870972,'77.88215637,'97.75283813,'97.01830292,'80.28144073,'80.43563843,'88.87720490,'83.59191132,'73.13706970
'4,'R04497,'14/01/2025,'DLO*RAPPI COLOMBIA,'294,033.00,'0,0000,'00,0000,'294,033.00,'0.00,'1/1,'62.95363235,'83.01692963,'97.20528412,'98.01577759,'85.59377289,'85.75848389,'83.13313293,'89.12903595,'77.94071198
'4,'R02676,'13/01/2025,'RAPPI*RAPPI COLOMBIA,'35,600.00,'0,0000,'00,0000,'35,600.00,'0.00,'1/1,'62.29135895,'82.51073456,'99.27413177,'98.11307526,'85.09526825,'85.26714325,'95.79975891,'88.65064240,'77.65097809
'4,'R05795,'13/01/2025,'EL PATIO DEL MUSEO,'44,796.00,'0,0000,'00,0000,'44,796.00,'0.00,'1/1,'60.52061844,'83.28046417,'97.56091309,'98.31764984,'85.87540436,'86.04940796,'99.18111420,'89.46513367,'78.35335541
'4,'R03079,'13/01/2025,'GRUPO EMPRESARIAL LA S,'25,200.00,'0,0000,'00,0000,'25,200.00,'0.00,'1/1,'64.90698242,'82.61689758,'89.23626709,'97.91865540,'85.15918732,'85.33363342,'95.27374268,'88.75308990,'77.60547638
'4,'R02668,'13/01/2025,'EMCALI ETCE ESP,'161,573.00,'0,0000,'00,0000,'161,573.00,'0.00,'1/1,'39.22394562,'83.43630219,'98.42385101,'98.41226196,'85.98334503,'86.13348389,'96.89572906,'89.60617065,'78.24552155
'4,'F04212,'12/01/2025,'DiDi CO Food,'86,242.00,'0,0000,'00,0000,'86,242.00,'0.00,'1/1,'38.06316376,'73.56118011,'94.05284119,'98.17940521,'75.87956238,'75.99646759,'96.40103912,'78.94155121,'68.96426392
'4,'R00040,'12/01/2025,'ADOBE,'333,200.00,'0,0000,'00,0000,'333,200.00,'0.00,'1/1,'37.75564957,'82.23205566,'99.67105103,'98.10581207,'84.81184387,'84.93617249,'92.90445709,'88.21755981,'77.10893250
'4,'R02129,'12/01/2025,'DLO*RAPPI,'58,150.00,'0,0000,'00,0000,'58,150.00,'0.00,'1/1,'87.27456665,'82.76548767,'97.07436371,'97.89512634,'85.26922607,'85.38751984,'90.26630402,'88.77050018,'77.74983978
'4,'R02489,'12/01/2025,'DLO*RAPPI,'62,450.00,'0,0000,'00,0000,'62,450.00,'0.00,'1/1,'34.53675461,'83.94142914,'96.11284637,'98.40771484,'86.46825409,'86.58985138,'88.56010437,'89.95654297,'78.85056305
