'Page number,'ITEM,'PRICE,'Confidence score % (ITEM),'Confidence score % (PRICE)
'1,'Saldo anterior,'2,165.50,'97.11376953,'97.46331787
'1,'+ Compras del mes,'853.34,'88.97507477,'99.35056305
'1,'+ Intereses de mora,'0.00,'90.54122925,'99.43203735
'1,'+ Intereses corrientes,'1.49,'79.50917816,'83.79117584
'1,'+ Intereses corrientes,'1.49,'89.96587372,'99.51775360
'1,'Avances,'0,00,'97.76775360,'99.79766083
'1,'Otros
cargos,'0.00,'96.69509888,'99.69568634
